Category,ID,Latitude,Longitude
shrub,276,40.05496379,-105.6012955
shrub,277,40.05657614,-105.5849225
shrub,278,40.05669593,-105.585141
shrub,279,40.05679815,-105.5849773
shrub,280,40.05686284,-105.584827
shrub,281,40.05650889,-105.584631
shrub,282,40.0563131,-105.5848223
shrub,283,40.05626047,-105.589999
shrub,284,40.05626907,-105.5898127
shrub,285,40.05612697,-105.590039
shrub,286,40.05611209,-105.5897838
shrub,287,40.05599698,-105.5894758
shrub,288,40.05617699,-105.5890964
shrub,289,40.05628096,-105.5892997
shrub,290,40.05598276,-105.5895801
shrub,291,40.05609069,-105.5893715
shrub,292,40.05609393,-105.589904
shrub,293,40.05604794,-105.5897776
shrub,294,40.05617787,-105.5893022
shrub,295,40.05613353,-105.589554
shrub,296,40.05621593,-105.5892678
shrub,297,40.05631821,-105.5894357
shrub,298,40.05630881,-105.5896668
shrub,299,40.05624469,-105.5892856
shrub,300,40.05645579,-105.5892669
shrub,301,40.05645778,-105.5894368
shrub,302,40.0566168,-105.5895105
shrub,303,40.05661956,-105.5891931
shrub,304,40.05664089,-105.5888599
shrub,305,40.05670687,-105.5884923
shrub,306,40.05677063,-105.5884659
shrub,307,40.05663953,-105.5881966
shrub,308,40.05681197,-105.5886278
shrub,309,40.05651607,-105.5882617
shrub,310,40.05633443,-105.5880482
shrub,311,40.05616667,-105.5883642
shrub,312,40.05621533,-105.588646
shrub,313,40.0557835,-105.588467
shrub,314,40.0560551,-105.5884068
shrub,315,40.05665123,-105.5872998
shrub,316,40.05692002,-105.5873831
shrub,317,40.05681298,-105.5875462
shrub,318,40.05686119,-105.5873471
shrub,319,40.05658799,-105.5872554
shrub,320,40.05642419,-105.5875377
shrub,321,40.05671333,-105.5877814
shrub,322,40.05668481,-105.5850687
shrub,323,40.05617009,-105.5844819
shrub,324,40.05614495,-105.5848157
shrub,325,40.05508355,-105.5829198
shrub,326,40.05533152,-105.5829222
shrub,327,40.0547955,-105.5827148
shrub,328,40.05541778,-105.5826261
shrub,329,40.05512475,-105.582139
shrub,330,40.05513403,-105.5831849
shrub,331,40.05474288,-105.5832057
shrub,332,40.05535951,-105.5830007
shrub,333,40.05537361,-105.5832485
shrub,334,40.05559342,-105.58272
shrub,335,40.05569628,-105.582544
shrub,336,40.05558887,-105.5819951
shrub,337,40.05557603,-105.5820283
shrub,338,40.05565248,-105.5817089
shrub,339,40.05554092,-105.581639
shrub,340,40.05536217,-105.5817718
shrub,341,40.05527084,-105.5820231
shrub,342,40.05521279,-105.5821299
shrub,343,40.05528586,-105.581309
shrub,344,40.0551915,-105.5807031
shrub,345,40.05566905,-105.5815775
shrub,346,40.05556939,-105.5816263
shrub,347,40.0555986,-105.5811956
shrub,348,40.0555919,-105.5806284
shrub,349,40.05566283,-105.580387
shrub,350,40.05601322,-105.5802594
shrub,351,40.05581033,-105.5803666
shrub,352,40.05560692,-105.581321
shrub,353,40.05536434,-105.5812232
shrub,354,40.05566699,-105.5810056
shrub,355,40.0563155,-105.582721
shrub,356,40.05607404,-105.5820183
shrub,357,40.05621161,-105.5820173
shrub,358,40.05610333,-105.5822306
shrub,359,40.055904,-105.5819102
shrub,360,40.05575192,-105.5818979
shrub,361,40.05599517,-105.5820039
shrub,362,40.05629217,-105.5809253
shrub,363,40.05619297,-105.5806917
shrub,364,40.05635949,-105.5805605
shrub,365,40.05629382,-105.5807168
shrub,366,40.05585331,-105.5820419
shrub,367,40.0557223,-105.5819511
shrub,368,40.05533654,-105.5828299
shrub,369,40.05545704,-105.5826006
krum,370,40.05383858,-105.5832593
krum,371,40.05395765,-105.5832319
krum,372,40.05433017,-105.583036
krum,373,40.05442327,-105.5827474
krum,374,40.05431945,-105.581162
krum,375,40.05427023,-105.5812047
krum,376,40.05414291,-105.5811612
krum,377,40.05429606,-105.5813274
krum,378,40.05444122,-105.5818883
shrub,379,40.05446271,-105.5808337
shrub,380,40.05443207,-105.5805257
shrub,381,40.05463181,-105.5806991
krum,382,40.05492504,-105.5811473
krum,383,40.05494722,-105.5812043
krum,384,40.05476171,-105.5813709
krum,385,40.0549526,-105.5810987
shrub,386,40.05601699,-105.5846513
shrub,387,40.05586317,-105.5847498
rock,388,40.05594841,-105.5845409
rock,389,40.05600697,-105.5845652
shrub,390,40.05388398,-105.5828423
shrub,391,40.05384299,-105.5826857
shrub,392,40.05415889,-105.5829078
krum,393,40.05381391,-105.5831933
shrub,394,40.05381387,-105.5827991
shrub,395,40.05421727,-105.5827856
shrub,396,40.05415613,-105.5823196
shrub,397,40.05400035,-105.5819656
krum,398,40.05391494,-105.5815132
shrub,399,40.05401474,-105.5817061
shrub,400,40.05351699,-105.5818308
shrub,401,40.05361632,-105.5812463
shrub,402,40.05371273,-105.5811021
rock,403,40.05413976,-105.5840652
rock,404,40.05391489,-105.5844668
rock,405,40.0541047,-105.5842737
shrub,406,40.05367326,-105.583824
shrub,407,40.0539176,-105.583952
shrub,408,40.05404222,-105.5831122
water,409,40.05347757,-105.5837494
water,410,40.05377041,-105.5843341
shrub,411,40.05408325,-105.5834259
bare,412,40.05436212,-105.5838018
bare,413,40.05439201,-105.5838044
bare,414,40.05442306,-105.5838253
rock,415,40.05443325,-105.5840258
rock,416,40.05435522,-105.5840553
water,417,40.05448069,-105.5842214
water,418,40.05448132,-105.5841905
rock,419,40.05399514,-105.5842985
krum,420,40.05421465,-105.585343
shrub,421,40.05410781,-105.5858219
shrub,422,40.05423921,-105.5857322
shrub,423,40.05417637,-105.5858196
shrub,424,40.05428541,-105.5858407
shrub,425,40.05417174,-105.5859276
rock,426,40.05418608,-105.5860637
rock,427,40.05425587,-105.5858985
shrub,428,40.05457381,-105.5862455
